,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,New York
25,North Dakota
26,Ohio
27,Oklahoma
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
